candidate,county,party,percentage,popular_vote,state,summary_level
M. O'Malley,Bullock County,DEMOCRAT,0.3%,9,alabama,county
R. De La Fuente,Bullock County,DEMOCRAT,0.3%,7,alabama,county
D. Trump,Bullock County,REPUBLICAN,56.5%,313,alabama,county
T. Cruz,Bullock County,REPUBLICAN,17.0%,94,alabama,county
M. Rubio,Bullock County,REPUBLICAN,11.6%,64,alabama,county
B. Carson,Bullock County,REPUBLICAN,8.5%,47,alabama,county
J. Kasich,Bullock County,REPUBLICAN,4.2%,23,alabama,county
J. Bush,Bullock County,REPUBLICAN,1.3%,7,alabama,county
Uncommitted,Bullock County,REPUBLICAN,0.5%,3,alabama,county
R. Paul,Bullock County,REPUBLICAN,0.4%,2,alabama,county
M. Huckabee,Bullock County,REPUBLICAN,0.2%,1,alabama,county
C. Christie,Bullock County,REPUBLICAN,0.0%,0,alabama,county
C. Fiorina,Bullock County,REPUBLICAN,0.0%,0,alabama,county
L. Graham,Bullock County,REPUBLICAN,0.0%,0,alabama,county
R. Santorum,Bullock County,REPUBLICAN,0.0%,0,alabama,county
H. Clinton,Butler County,DEMOCRAT,92.1%,"2,196",alabama,county
B. Sanders,Butler County,DEMOCRAT,6.5%,156,alabama,county
Uncommitted,Butler County,DEMOCRAT,1.0%,24,alabama,county
M. O'Malley,Butler County,DEMOCRAT,0.2%,5,alabama,county
R. De La Fuente,Butler County,DEMOCRAT,0.1%,3,alabama,county
D. Trump,Butler County,REPUBLICAN,53.8%,"1,720",alabama,county
T. Cruz,Butler County,REPUBLICAN,16.7%,534,alabama,county
M. Rubio,Butler County,REPUBLICAN,13.3%,427,alabama,county
B. Carson,Butler County,REPUBLICAN,11.8%,377,alabama,county
J. Kasich,Butler County,REPUBLICAN,2.7%,86,alabama,county
J. Bush,Butler County,REPUBLICAN,0.7%,21,alabama,county
Uncommitted,Butler County,REPUBLICAN,0.5%,17,alabama,county
M. Huckabee,Butler County,REPUBLICAN,0.2%,6,alabama,county
R. Santorum,Butler County,REPUBLICAN,0.1%,4,alabama,county
C. Christie,Butler County,REPUBLICAN,0.1%,3,alabama,county
R. Paul,Butler County,REPUBLICAN,0.1%,3,alabama,county
L. Graham,Butler County,REPUBLICAN,0.0%,1,alabama,county
C. Fiorina,Butler County,REPUBLICAN,0.0%,0,alabama,county
H. Clinton,Calhoun County,DEMOCRAT,76.5%,"5,011",alabama,county
B. Sanders,Calhoun County,DEMOCRAT,21.8%,"1,425",alabama,county
Uncommitted,Calhoun County,DEMOCRAT,1.2%,81,alabama,county
M. O'Malley,Calhoun County,DEMOCRAT,0.3%,18,alabama,county
R. De La Fuente,Calhoun County,DEMOCRAT,0.2%,13,alabama,county
D. Trump,Calhoun County,REPUBLICAN,45.1%,"8,960",alabama,county
T. Cruz,Calhoun County,REPUBLICAN,19.4%,"3,859",alabama,county
M. Rubio,Calhoun County,REPUBLICAN,16.3%,"3,251",alabama,county
B. Carson,Calhoun County,REPUBLICAN,11.8%,"2,350",alabama,county
J. Kasich,Calhoun County,REPUBLICAN,4.8%,957,alabama,county
Uncommitted,Calhoun County,REPUBLICAN,1.0%,201,alabama,county
J. Bush,Calhoun County,REPUBLICAN,0.6%,126,alabama,county
M. Huckabee,Calhoun County,REPUBLICAN,0.4%,72,alabama,county
R. Paul,Calhoun County,REPUBLICAN,0.2%,48,alabama,county
C. Christie,Calhoun County,REPUBLICAN,0.1%,20,alabama,county
C. Fiorina,Calhoun County,REPUBLICAN,0.1%,19,alabama,county
R. Santorum,Calhoun County,REPUBLICAN,0.1%,16,alabama,county
L. Graham,Calhoun County,REPUBLICAN,0.0%,6,alabama,county
H. Clinton,Chambers County,DEMOCRAT,88.6%,"2,899",alabama,county
B. Sanders,Chambers County,DEMOCRAT,9.5%,312,alabama,county
Uncommitted,Chambers County,DEMOCRAT,1.4%,45,alabama,county
R. De La Fuente,Chambers County,DEMOCRAT,0.3%,9,alabama,county
M. O'Malley,Chambers County,DEMOCRAT,0.2%,8,alabama,county
D. Trump,Chambers County,REPUBLICAN,47.6%,"2,169",alabama,county
T. Cruz,Chambers County,REPUBLICAN,20.0%,914,alabama,county
B. Carson,Chambers County,REPUBLICAN,13.1%,595,alabama,county
M. Rubio,Chambers County,REPUBLICAN,13.1%,595,alabama,county
J. Kasich,Chambers County,REPUBLICAN,3.7%,168,alabama,county
Uncommitted,Chambers County,REPUBLICAN,1.0%,44,alabama,county
J. Bush,Chambers County,REPUBLICAN,0.8%,36,alabama,county
M. Huckabee,Chambers County,REPUBLICAN,0.3%,12,alabama,county
R. Paul,Chambers County,REPUBLICAN,0.3%,12,alabama,county
C. Christie,Chambers County,REPUBLICAN,0.2%,7,alabama,county
C. Fiorina,Chambers County,REPUBLICAN,0.1%,4,alabama,county
R. Santorum,Chambers County,REPUBLICAN,0.0%,2,alabama,county
L. Graham,Chambers County,REPUBLICAN,0.0%,1,alabama,county
H. Clinton,Cherokee County,DEMOCRAT,66.1%,712,alabama,county
B. Sanders,Cherokee County,DEMOCRAT,24.9%,268,alabama,county
Uncommitted,Cherokee County,DEMOCRAT,7.4%,80,alabama,county
M. O'Malley,Cherokee County,DEMOCRAT,0.9%,10,alabama,county
R. De La Fuente,Cherokee County,DEMOCRAT,0.6%,7,alabama,county
D. Trump,Cherokee County,REPUBLICAN,52.1%,"2,777",alabama,county
T. Cruz,Cherokee County,REPUBLICAN,17.3%,921,alabama,county
M. Rubio,Cherokee County,REPUBLICAN,15.2%,810,alabama,county
B. Carson,Cherokee County,REPUBLICAN,10.0%,534,alabama,county
J. Kasich,Cherokee County,REPUBLICAN,2.8%,151,alabama,county
Uncommitted,Cherokee County,REPUBLICAN,1.3%,69,alabama,county
M. Huckabee,Cherokee County,REPUBLICAN,0.5%,29,alabama,county
J. Bush,Cherokee County,REPUBLICAN,0.4%,20,alabama,county
R. Santorum,Cherokee County,REPUBLICAN,0.1%,7,alabama,county
R. Paul,Cherokee County,REPUBLICAN,0.1%,6,alabama,county
C. Fiorina,Cherokee County,REPUBLICAN,0.1%,4,alabama,county
C. Christie,Cherokee County,REPUBLICAN,0.1%,3,alabama,county
L. Graham,Cherokee County,REPUBLICAN,0.1%,3,alabama,county
 H. Clinton,Chilton County,DEMOCRAT,73.1%,860,alabama,county
 B. Sanders,Chilton County,DEMOCRAT,24.6%,289,alabama,county
 Uncommitted,Chilton County,DEMOCRAT,2.0%,23,alabama,county
 R. De La Fuente,Chilton County,DEMOCRAT,0.3%,3,alabama,county
 M. O'Malley,Chilton County,DEMOCRAT,0.2%,2,alabama,county
 D. Trump,Chilton County,REPUBLICAN,49.3%,"5,273",alabama,county
 T. Cruz,Chilton County,REPUBLICAN,21.8%,"2,328",alabama,county
 M. Rubio,Chilton County,REPUBLICAN,13.4%,"1,436",alabama,county
 B. Carson,Chilton County,REPUBLICAN,10.8%,"1,149",alabama,county
 J. Kasich,Chilton County,REPUBLICAN,2.0%,218,alabama,county
 Uncommitted,Chilton County,REPUBLICAN,1.1%,118,alabama,county
 J. Bush,Chilton County,REPUBLICAN,0.6%,63,alabama,county
 M. Huckabee,Chilton County,REPUBLICAN,0.6%,61,alabama,county
 R. Paul,Chilton County,REPUBLICAN,0.1%,11,alabama,county
 C. Christie,Chilton County,REPUBLICAN,0.1%,10,alabama,county
 R. Santorum,Chilton County,REPUBLICAN,0.1%,9,alabama,county
 C. Fiorina,Chilton County,REPUBLICAN,0.1%,6,alabama,county
 L. Graham,Chilton County,REPUBLICAN,0.0%,5,alabama,county
 H. Clinton,Choctaw County,DEMOCRAT,80.2%,"1,772",alabama,county
 B. Sanders,Choctaw County,DEMOCRAT,12.4%,273,alabama,county
 Uncommitted,Choctaw County,DEMOCRAT,5.9%,131,alabama,county
 M. O'Malley,Choctaw County,DEMOCRAT,0.8%,18,alabama,county
 R. De La Fuente,Choctaw County,DEMOCRAT,0.7%,15,alabama,county
 D. Trump,Choctaw County,REPUBLICAN,49.9%,"1,070",alabama,county
 T. Cruz,Choctaw County,REPUBLICAN,21.0%,451,alabama,county
 M. Rubio,Choctaw County,REPUBLICAN,14.7%,315,alabama,county
 B. Carson,Choctaw County,REPUBLICAN,7.9%,169,alabama,county
 J. Kasich,Choctaw County,REPUBLICAN,3.2%,68,alabama,county
 Uncommitted,Choctaw County,REPUBLICAN,1.3%,27,alabama,county
 J. Bush,Choctaw County,REPUBLICAN,0.9%,20,alabama,county
 M. Huckabee,Choctaw County,REPUBLICAN,0.5%,11,alabama,county
 R. Paul,Choctaw County,REPUBLICAN,0.3%,6,alabama,county
 C. Christie,Choctaw County,REPUBLICAN,0.1%,2,alabama,county
 C. Fiorina,Choctaw County,REPUBLICAN,0.1%,2,alabama,county
 L. Graham,Choctaw County,REPUBLICAN,0.0%,1,alabama,county
 R. Santorum,Choctaw County,REPUBLICAN,0.0%,1,alabama,county
 H. Clinton,Clarke County,DEMOCRAT,93.0%,"3,148",alabama,county
 B. Sanders,Clarke County,DEMOCRAT,6.3%,213,alabama,county
 Uncommitted,Clarke County,DEMOCRAT,0.5%,17,alabama,county
 R. De La Fuente,Clarke County,DEMOCRAT,0.1%,3,alabama,county
 M. O'Malley,Clarke County,DEMOCRAT,0.1%,3,alabama,county
 D. Trump,Clarke County,REPUBLICAN,50.2%,"2,308",alabama,county
 T. Cruz,Clarke County,REPUBLICAN,19.3%,886,alabama,county
 M. Rubio,Clarke County,REPUBLICAN,17.5%,805,alabama,county
 B. Carson,Clarke County,REPUBLICAN,8.9%,410,alabama,county
 J. Kasich,Clarke County,REPUBLICAN,2.7%,125,alabama,county
 Uncommitted,Clarke County,REPUBLICAN,0.4%,19,alabama,county
 M. Huckabee,Clarke County,REPUBLICAN,0.4%,18,alabama,county
 J. Bush,Clarke County,REPUBLICAN,0.3%,15,alabama,county
 C. Christie,Clarke County,REPUBLICAN,0.2%,8,alabama,county
 R. Paul,Clarke County,REPUBLICAN,0.0%,2,alabama,county
 L. Graham,Clarke County,REPUBLICAN,0.0%,1,alabama,county
 R. Santorum,Clarke County,REPUBLICAN,0.0%,1,alabama,county
 C. Fiorina,Clarke County,REPUBLICAN,0.0%,0,alabama,county
 H. Clinton,Clay County,DEMOCRAT,81.8%,807,alabama,county
 B. Sanders,Clay County,DEMOCRAT,13.7%,135,alabama,county
 Uncommitted,Clay County,DEMOCRAT,3.5%,35,alabama,county
 M. O'Malley,Clay County,DEMOCRAT,0.7%,7,alabama,county
 R. De La Fuente,Clay County,DEMOCRAT,0.3%,3,alabama,county
 D. Trump,Clay County,REPUBLICAN,47.6%,"1,920",alabama,county
 T. Cruz,Clay County,REPUBLICAN,20.7%,836,alabama,county
 M. Rubio,Clay County,REPUBLICAN,12.5%,505,alabama,county
 B. Carson,Clay County,REPUBLICAN,12.2%,492,alabama,county
 J. Kasich,Clay County,REPUBLICAN,3.1%,125,alabama,county
 Uncommitted,Clay County,REPUBLICAN,1.6%,65,alabama,county
 J. Bush,Clay County,REPUBLICAN,1.1%,43,alabama,county
 M. Huckabee,Clay County,REPUBLICAN,0.5%,21,alabama,county
 R. Paul,Clay County,REPUBLICAN,0.2%,9,alabama,county
 C. Fiorina,Clay County,REPUBLICAN,0.1%,6,alabama,county
 C. Christie,Clay County,REPUBLICAN,0.1%,4,alabama,county
 L. Graham,Clay County,REPUBLICAN,0.1%,3,alabama,county
 R. Santorum,Clay County,REPUBLICAN,0.1%,3,alabama,county
 H. Clinton,Cleburne County,DEMOCRAT,73.2%,221,alabama,county
 B. Sanders,Cleburne County,DEMOCRAT,23.8%,72,alabama,county
 Uncommitted,Cleburne County,DEMOCRAT,2.3%,7,alabama,county
 R. De La Fuente,Cleburne County,DEMOCRAT,0.7%,2,alabama,county
 M. O'Malley,Cleburne County,DEMOCRAT,0.0%,0,alabama,county
 D. Trump,Cleburne County,REPUBLICAN,48.3%,"2,120",alabama,county
 T. Cruz,Cleburne County,REPUBLICAN,21.1%,928,alabama,county
 M. Rubio,Cleburne County,REPUBLICAN,13.6%,598,alabama,county
 B. Carson,Cleburne County,REPUBLICAN,10.0%,437,alabama,county
 J. Kasich,Cleburne County,REPUBLICAN,2.4%,106,alabama,county
 Uncommitted,Cleburne County,REPUBLICAN,1.6%,72,alabama,county
 J. Bush,Cleburne County,REPUBLICAN,1.5%,68,alabama,county
 M. Huckabee,Cleburne County,REPUBLICAN,0.6%,25,alabama,county
 R. Paul,Cleburne County,REPUBLICAN,0.3%,15,alabama,county
 R. Santorum,Cleburne County,REPUBLICAN,0.2%,7,alabama,county
 C. Christie,Cleburne County,REPUBLICAN,0.1%,6,alabama,county
 C. Fiorina,Cleburne County,REPUBLICAN,0.1%,5,alabama,county
 L. Graham,Cleburne County,REPUBLICAN,0.1%,3,alabama,county
 H. Clinton,Coffee County,DEMOCRAT,77.2%,"1,493",alabama,county
 B. Sanders,Coffee County,DEMOCRAT,20.1%,389,alabama,county
 Uncommitted,Coffee County,DEMOCRAT,2.3%,44,alabama,county
 M. O'Malley,Coffee County,DEMOCRAT,0.4%,7,alabama,county
 R. De La Fuente,Coffee County,DEMOCRAT,0.1%,2,alabama,county
 D. Trump,Coffee County,REPUBLICAN,41.4%,"4,304",alabama,county
 T. Cruz,Coffee County,REPUBLICAN,23.3%,"2,421",alabama,county
 M. Rubio,Coffee County,REPUBLICAN,15.5%,"1,608",alabama,county
 B. Carson,Coffee County,REPUBLICAN,13.2%,"1,368",alabama,county
 J. Kasich,Coffee County,REPUBLICAN,3.6%,377,alabama,county
 Uncommitted,Coffee County,REPUBLICAN,1.3%,136,alabama,county
 J. Bush,Coffee County,REPUBLICAN,0.6%,67,alabama,county
 M. Huckabee,Coffee County,REPUBLICAN,0.4%,40,alabama,county
 R. Paul,Coffee County,REPUBLICAN,0.3%,29,alabama,county
 C. Christie,Coffee County,REPUBLICAN,0.1%,13,alabama,county
 C. Fiorina,Coffee County,REPUBLICAN,0.1%,11,alabama,county
 R. Santorum,Coffee County,REPUBLICAN,0.1%,9,alabama,county
 L. Graham,Coffee County,REPUBLICAN,0.0%,4,alabama,county
 H. Clinton,Colbert County,DEMOCRAT,65.0%,"3,879",alabama,county
 B. Sanders,Colbert County,DEMOCRAT,22.5%,"1,342",alabama,county
 Uncommitted,Colbert County,DEMOCRAT,11.0%,659,alabama,county
 M. O'Malley,Colbert County,DEMOCRAT,0.9%,56,alabama,county
 R. De La Fuente,Colbert County,DEMOCRAT,0.6%,36,alabama,county
 D. Trump,Colbert County,REPUBLICAN,47.4%,"3,858",alabama,county
 T. Cruz,Colbert County,REPUBLICAN,19.7%,"1,601",alabama,county
 M. Rubio,Colbert County,REPUBLICAN,17.7%,"1,443",alabama,county
 B. Carson,Colbert County,REPUBLICAN,10.9%,884,alabama,county
 J. Kasich,Colbert County,REPUBLICAN,3.1%,250,alabama,county
 Uncommitted,Colbert County,REPUBLICAN,0.5%,44,alabama,county
 R. Paul,Colbert County,REPUBLICAN,0.2%,19,alabama,county
 M. Huckabee,Colbert County,REPUBLICAN,0.2%,17,alabama,county
 J. Bush,Colbert County,REPUBLICAN,0.2%,15,alabama,county
 C. Fiorina,Colbert County,REPUBLICAN,0.0%,4,alabama,county
 C. Christie,Colbert County,REPUBLICAN,0.0%,3,alabama,county
 R. Santorum,Colbert County,REPUBLICAN,0.0%,3,alabama,county
 L. Graham,Colbert County,REPUBLICAN,0.0%,2,alabama,county
 H. Clinton,Conecuh County,DEMOCRAT,71.4%,"2,031",alabama,county
 B. Sanders,Conecuh County,DEMOCRAT,19.1%,544,alabama,county
 Uncommitted,Conecuh County,DEMOCRAT,8.0%,227,alabama,county
 R. De La Fuente,Conecuh County,DEMOCRAT,0.7%,21,alabama,county
 M. O'Malley,Conecuh County,DEMOCRAT,0.7%,21,alabama,county
 D. Trump,Conecuh County,REPUBLICAN,59.0%,768,alabama,county
 T. Cruz,Conecuh County,REPUBLICAN,16.0%,208,alabama,county
 M. Rubio,Conecuh County,REPUBLICAN,10.8%,141,alabama,county
 B. Carson,Conecuh County,REPUBLICAN,10.5%,137,alabama,county
 J. Kasich,Conecuh County,REPUBLICAN,1.3%,17,alabama,county
 Uncommitted,Conecuh County,REPUBLICAN,0.8%,11,alabama,county
 J. Bush,Conecuh County,REPUBLICAN,0.6%,8,alabama,county
 M. Huckabee,Conecuh County,REPUBLICAN,0.5%,6,alabama,county
 R. Paul,Conecuh County,REPUBLICAN,0.2%,3,alabama,county
 C. Fiorina,Conecuh County,REPUBLICAN,0.1%,1,alabama,county
 L. Graham,Conecuh County,REPUBLICAN,0.1%,1,alabama,county
 R. Santorum,Conecuh County,REPUBLICAN,0.1%,1,alabama,county
 C. Christie,Conecuh County,REPUBLICAN,0.0%,0,alabama,county
 H. Clinton,Coosa County,DEMOCRAT,87.7%,"1,012",alabama,county
 B. Sanders,Coosa County,DEMOCRAT,10.8%,125,alabama,county
 Uncommitted,Coosa County,DEMOCRAT,1.0%,11,alabama,county
 M. O'Malley,Coosa County,DEMOCRAT,0.3%,4,alabama,county
 R. De La Fuente,Coosa County,DEMOCRAT,0.2%,2,alabama,county
 D. Trump,Coosa County,REPUBLICAN,55.3%,"1,233",alabama,county
 T. Cruz,Coosa County,REPUBLICAN,19.5%,435,alabama,county
 M. Rubio,Coosa County,REPUBLICAN,10.8%,241,alabama,county
 B. Carson,Coosa County,REPUBLICAN,9.0%,201,alabama,county
 J. Kasich,Coosa County,REPUBLICAN,3.0%,66,alabama,county
 Uncommitted,Coosa County,REPUBLICAN,1.0%,22,alabama,county
 J. Bush,Coosa County,REPUBLICAN,0.4%,10,alabama,county
 M. Huckabee,Coosa County,REPUBLICAN,0.3%,6,alabama,county
 R. Santorum,Coosa County,REPUBLICAN,0.2%,5,alabama,county
 C. Christie,Coosa County,REPUBLICAN,0.1%,3,alabama,county
 C. Fiorina,Coosa County,REPUBLICAN,0.1%,3,alabama,county
 R. Paul,Coosa County,REPUBLICAN,0.1%,2,alabama,county
 L. Graham,Coosa County,REPUBLICAN,0.0%,1,alabama,county
 H. Clinton,Covington County,DEMOCRAT,77.3%,737,alabama,county
 B. Sanders,Covington County,DEMOCRAT,19.7%,188,alabama,county
 Uncommitted,Covington County,DEMOCRAT,2.1%,20,alabama,county
 R. De La Fuente,Covington County,DEMOCRAT,0.5%,5,alabama,county
 M. O'Malley,Covington County,DEMOCRAT,0.4%,4,alabama,county
 D. Trump,Covington County,REPUBLICAN,48.1%,"4,608",alabama,county
 T. Cruz,Covington County,REPUBLICAN,18.5%,"1,773",alabama,county
 M. Rubio,Covington County,REPUBLICAN,13.3%,"1,277",alabama,county
 B. Carson,Covington County,REPUBLICAN,13.3%,"1,275",alabama,county
 J. Kasich,Covington County,REPUBLICAN,3.4%,324,alabama,county
 Uncommitted,Covington County,REPUBLICAN,1.6%,149,alabama,county
 J. Bush,Covington County,REPUBLICAN,0.8%,77,alabama,county
 M. Huckabee,Covington County,REPUBLICAN,0.4%,41,alabama,county
 C. Christie,Covington County,REPUBLICAN,0.2%,17,alabama,county
 R. Paul,Covington County,REPUBLICAN,0.2%,15,alabama,county
 L. Graham,Covington County,REPUBLICAN,0.1%,8,alabama,county
 R. Santorum,Covington County,REPUBLICAN,0.1%,5,alabama,county
 C. Fiorina,Covington County,REPUBLICAN,0.0%,4,alabama,county
 H. Clinton,Crenshaw County,DEMOCRAT,87.8%,908,alabama,county
 B. Sanders,Crenshaw County,DEMOCRAT,10.3%,107,alabama,county
 Uncommitted,Crenshaw County,DEMOCRAT,1.2%,12,alabama,county
 M. O'Malley,Crenshaw County,DEMOCRAT,0.5%,5,alabama,county
 R. De La Fuente,Crenshaw County,DEMOCRAT,0.2%,2,alabama,county
 D. Trump,Crenshaw County,REPUBLICAN,54.5%,"1,496",alabama,county
 T. Cruz,Crenshaw County,REPUBLICAN,21.9%,602,alabama,county
 B. Carson,Crenshaw County,REPUBLICAN,10.4%,286,alabama,county
 M. Rubio,Crenshaw County,REPUBLICAN,9.1%,250,alabama,county
 J. Kasich,Crenshaw County,REPUBLICAN,2.6%,70,alabama,county
 Uncommitted,Crenshaw County,REPUBLICAN,0.5%,14,alabama,county
 J. Bush,Crenshaw County,REPUBLICAN,0.4%,12,alabama,county
 C. Christie,Crenshaw County,REPUBLICAN,0.3%,7,alabama,county
 L. Graham,Crenshaw County,REPUBLICAN,0.1%,2,alabama,county
 R. Paul,Crenshaw County,REPUBLICAN,0.1%,2,alabama,county
 R. Santorum,Crenshaw County,REPUBLICAN,0.1%,2,alabama,county
 C. Fiorina,Crenshaw County,REPUBLICAN,0.0%,1,alabama,county
 M. Huckabee,Crenshaw County,REPUBLICAN,0.0%,1,alabama,county
 H. Clinton,Cullman County,DEMOCRAT,60.8%,"1,275",alabama,county
 B. Sanders,Cullman County,DEMOCRAT,34.5%,723,alabama,county
 Uncommitted,Cullman County,DEMOCRAT,3.8%,79,alabama,county
 M. O'Malley,Cullman County,DEMOCRAT,0.6%,12,alabama,county
 R. De La Fuente,Cullman County,DEMOCRAT,0.3%,7,alabama,county
 D. Trump,Cullman County,REPUBLICAN,50.6%,"10,618",alabama,county
 T. Cruz,Cullman County,REPUBLICAN,20.3%,"4,248",alabama,county
